Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:44:34 PM,100,6.991675,4.36742,0
10/28/2017 2:44:35 PM,100,1.639571,2.454733,0
10/28/2017 2:44:36 PM,100,4.233191,0,0
10/28/2017 2:44:37 PM,100,4.729227,1.891716,0
10/28/2017 2:44:38 PM,77.68924,8.866575,6.896837,0
10/28/2017 2:44:39 PM,7.980275,0,11.77378,0
10/28/2017 2:44:40 PM,0.9632818,0.9823236,1.964711,0
10/28/2017 2:44:41 PM,0.03798188,0,1.970078,0
10/28/2017 2:44:42 PM,17.94337,2.970585,10.89247,0
10/28/2017 2:44:43 PM,2.905883,0,4.89545,0
10/28/2017 2:44:44 PM,17.69147,2.981291,0,0
10/28/2017 2:44:45 PM,0,0,3.944057,0
10/28/2017 2:44:46 PM,1.811924,0,1.963814,0
10/28/2017 2:44:47 PM,0,0,2.936004,0
10/28/2017 2:44:48 PM,0.1365174,0,0,0
10/28/2017 2:44:50 PM,0.06466708,0,1.968038,0
10/28/2017 2:44:51 PM,0,0,3.935613,0
10/28/2017 2:44:52 PM,0.7723083,0,4.927343,0
10/28/2017 2:44:53 PM,8.461178,1.968829,4.922002,0
10/28/2017 2:44:54 PM,8.311677,0.9846411,2.95369,0
10/28/2017 2:44:55 PM,0,0,1.972985,0
10/28/2017 2:44:56 PM,1.63025,0,1.982644,0
10/28/2017 2:44:57 PM,0,0,0,0
10/28/2017 2:44:58 PM,0.6152216,0,1.987651,0
10/28/2017 2:44:59 PM,0.5477767,0,2.937703,0
10/28/2017 2:45:00 PM,0,0,23.63046,0
10/28/2017 2:45:01 PM,6.215567,0,62.01231,0
10/28/2017 2:45:02 PM,2.311405,0,11.81429,0
10/28/2017 2:45:03 PM,0,1.957674,7.829635,0
10/28/2017 2:45:04 PM,34.53826,0.9746535,4.873627,0
10/28/2017 2:45:05 PM,0,0,0.9833251,0
10/28/2017 2:45:06 PM,0.9713914,0,1.980918,0
10/28/2017 2:45:07 PM,0,0,1.981976,0
10/28/2017 2:45:08 PM,0,0,0,0
10/28/2017 2:45:09 PM,0.1101063,0,3.933836,0
10/28/2017 2:45:10 PM,0,0,1.973703,0
10/28/2017 2:45:11 PM,0.7137687,0,1.982159,0
